city,longitude,latitude,weather_id,weather_main,weather_description,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,wind_gust,date_time,country,sunrise,sunset
Manila,120.9822,14.6042,501,Rain,moderate rain,25.75,26.81,25.59,26.1,998,93,5000,4.12,290,N/A,2024-10-23 00:16:31,PH,2024-10-23 03:18:50,2024-10-23 15:01:40
Moscow,37.6156,55.7522,804,Clouds,overcast clouds,8.63,6.68,7.75,9.1,1020,67,10000,3.31,269,9.33,2024-10-23 00:19:16,RU,2024-10-22 09:44:58,2024-10-22 19:42:41
Saint Petersburg,30.2642,59.8944,500,Rain,light rain,11.14,10.53,11.08,11.14,1014,85,10000,5,260,N/A,2024-10-23 00:17:59,RU,2024-10-22 10:25:44,2024-10-22 20:00:42
Riyadh,46.7219,24.6877,800,Clear,clear sky,29.08,27.83,29.08,29.08,1011,28,10000,8.47,145,15.57,2024-10-23 00:13:38,SA,2024-10-22 08:24:28,2024-10-22 19:50:20
Singapore,103.8501,1.2897,500,Rain,light rain,27.54,32.04,25.64,28.02,1009,88,10000,1.54,50,N/A,2024-10-23 00:23:36,SG,2024-10-23 04:16:26,2024-10-23 16:21:07
Johannesburg,28.0436,-26.2023,800,Clear,clear sky,17.25,16.23,16.62,18.42,1017,46,10000,2.68,355,5.81,2024-10-23 00:16:51,ZA,2024-10-22 08:56:00,2024-10-22 21:48:13
Seoul,126.9778,37.5683,500,Rain,light rain,14.19,14.12,12.69,15.66,1011,94,10000,7.2,260,N/A,2024-10-23 00:15:36,KR,2024-10-23 03:17:44,2024-10-23 14:14:48
Madrid,-3.7026,40.4165,800,Clear,clear sky,18.54,18.15,16.19,19.63,1025,65,10000,1.03,60,N/A,2024-10-23 00:17:52,ES,2024-10-22 12:03:25,2024-10-22 22:54:44
Barcelona,2.159,41.3888,801,Clouds,few clouds,19.28,19.2,18.08,19.86,1027,74,10000,3.6,70,N/A,2024-10-23 00:27:43,ES,2024-10-22 11:41:15,2024-10-22 22:30:01
Khartoum,32.5324,15.5518,804,Clouds,overcast clouds,37.38,35.68,37.38,37.38,1007,19,10000,6.54,353,9.27,2024-10-23 00:18:01,SD,2024-10-22 09:13:14,2024-10-22 20:55:04
Bangkok,100.5167,13.75,500,Rain,light rain,26.05,26.05,25.51,26.94,1009,85,10000,1.95,244,2.73,2024-10-23 00:22:56,TH,2024-10-23 04:39:59,2024-10-23 16:24:14
Istanbul,28.9833,41.0351,801,Clouds,few clouds,14.28,13.75,13.09,14.68,1030,76,10000,3.6,70,N/A,2024-10-23 00:18:02,TR,2024-10-22 09:53:23,2024-10-22 20:43:18
London,-0.1257,51.5085,801,Clouds,few clouds,12.97,12.62,11.95,13.88,1031,88,10000,1.03,0,N/A,2024-10-23 00:21:49,GB,2024-10-22 12:06:51,2024-10-22 22:22:41
New York,-74.006,40.7143,800,Clear,clear sky,26.82,26.69,24.79,29.08,1022,39,10000,4.63,190,8.23,2024-10-23 00:13:50,US,2024-10-22 16:45:15,2024-10-23 03:35:17
Los Angeles,-118.2437,34.0522,800,Clear,clear sky,27.19,26.67,22.97,31.3,1016,33,10000,2.06,190,N/A,2024-10-23 00:25:57,US,2024-10-22 19:34:10,2024-10-23 06:40:14
Chicago,-87.65,41.85,501,Rain,moderate rain,21.37,20.71,19.23,22.27,1013,44,10000,7.15,162,10.28,2024-10-23 00:26:40,US,2024-10-22 17:41:25,2024-10-23 04:28:15
Houston,-95.3633,29.7633,800,Clear,clear sky,28.7,30.13,27.26,30.19,1019,57,10000,4.12,240,N/A,2024-10-23 00:15:30,US,2024-10-22 17:58:00,2024-10-23 05:13:23
Dallas,-96.7836,32.7668,801,Clouds,few clouds,30.12,31.91,28.9,31.44,1017,54,10000,3.6,220,7.72,2024-10-23 00:21:32,US,2024-10-22 18:06:51,2024-10-23 05:15:53
Miami,-80.1937,25.7743,500,Rain,light rain,29.43,34.33,28.88,31,1013,73,10000,8.75,50,14.4,2024-10-23 00:18:03,US,2024-10-22 16:53:20,2024-10-23 04:16:41
Philadelphia,-75.1638,39.9523,800,Clear,clear sky,28.72,28.02,27.26,30.08,1022,36,10000,3.6,290,N/A,2024-10-23 00:18:04,US,2024-10-22 16:48:52,2024-10-23 03:40:55
Atlanta,-84.388,33.749,801,Clouds,few clouds,23.94,23.7,22.59,25.97,1021,50,10000,3.6,180,N/A,2024-10-23 00:18:04,US,2024-10-22 17:18:20,2024-10-23 04:25:15
Washington,-120.5015,47.5001,800,Clear,clear sky,10.75,9.26,9.63,11.87,1025,53,10000,0.87,84,1.12,2024-10-23 00:14:16,US,2024-10-22 20:01:34,2024-10-23 06:30:53
Ho Chi Minh City,106.6667,10.75,500,Rain,light rain,26.71,29.42,26.71,27.01,1009,84,10000,2.06,310,N/A,2024-10-23 00:13:46,VN,2024-10-23 04:12:52,2024-10-23 16:02:09
